HAName,PhoneNum
HA City of Everett,425-258-9222
HA City of Renton,425-226-1850
HA OF  KING COUNTY,206-574-1100
Housing Authority of Snohomish County,425-743-4505
Seattle Housing Authority,206-239-1500
